date,impact_on_final_nav
2022-05-19,-0.05362150171690898
2025-09-12,-0.05317663169090396
2023-10-13,-0.053153250694382856
2022-01-10,-0.053146437487056504
2024-08-26,-0.052966181144583485
2023-01-05,-0.05292846757679057
2023-07-14,-0.05261157528170094
2025-11-14,-0.05166982431257093
2021-03-09,-0.05161571940581065
2024-08-22,-0.05155628736390018
2021-07-14,-0.05138352225653146
2021-02-26,-0.05043164769278951
2023-07-05,-0.04989727053719874
2024-08-12,-0.04972821571642234
2022-09-06,-0.04963816620679911
2021-06-16,-0.04949740585090128
2022-04-14,-0.049399641559497644
2023-10-23,-0.048968868900844974
2025-08-29,-0.04889047208363959
2024-01-09,-0.04778328821084421
2021-04-07,-0.04742861594209401
2025-03-21,-0.047151593578181175
2025-07-21,-0.04713019858099407
2024-06-04,-0.04712062899532472
2024-04-09,-0.046399969600084606
2024-03-26,-0.04637559374793109
2023-05-04,-0.04558169624498847
2021-02-17,-0.04537023164139278
2025-09-09,-0.04475792118737954
2024-01-16,-0.04431308552859221
2024-07-23,-0.04405218152753732
2021-08-16,-0.043088696685802855
2022-06-22,-0.04251857723855203
2025-08-15,-0.041926294955975406
2024-10-21,-0.04160962046967682
2022-08-01,-0.041310180473085815
2023-04-12,-0.04129918821831915
2023-06-07,-0.0412914471123785
2024-06-24,-0.041229703995150475
2024-09-25,-0.041093933612805875
2024-11-15,-0.03947666204682894
2023-01-24,-0.0394031118473522
2024-04-18,-0.03829740318270893
2024-05-28,-0.038087501483316494
2023-05-12,-0.03804243365204447
2022-09-01,-0.037116308992064674
2022-08-29,-0.036706297042917675
2023-03-13,-0.03662137546468703
2025-08-19,-0.03659258945394802
2025-08-11,-0.03642275244083038
2022-12-30,-0.03550109425670008
2024-03-18,-0.03528968414906953
2021-07-16,-0.03397980638867598
2024-04-01,-0.0337981491627306
2021-11-19,-0.03334168589525435
2025-11-18,-0.033275175040447955
2021-03-22,-0.03305223325271158
2022-10-06,-0.03301657848374489
2025-06-04,-0.03215361413926202
2022-01-25,-0.032038255344835356
2022-07-13,-0.03181674626125302
2024-11-13,-0.03151241048183637
2024-10-22,-0.03139509080594226
2021-07-15,-0.03051624054082744
2023-08-01,-0.030283440179641977
2024-06-28,-0.03000378891687745
2025-05-20,-0.02988142981826319
2022-08-31,-0.02941964867944165
2023-04-14,-0.029334038311434288
2021-08-31,-0.029244676330489577
2022-05-20,-0.029112221193522924
2021-10-11,-0.02906043682095985
2025-08-21,-0.02886529922047844
2021-12-28,-0.02861676046714212
2021-04-22,-0.02684765417580919
2025-06-09,-0.026789185139190888
2021-05-04,-0.026713457872124372
2025-05-14,-0.02639669731123304
2023-01-17,-0.02575858565177484
2022-10-31,-0.025661791872927886
