date,ticker,company_name,market_sector,open,high,low,close,adj_close,volume,run_date
19/01/2026,BBY,"Best Buy Co., Inc.",Consumer Cyclical,67.5,67.77999878,66,67.76000214,67.76000214,6554500,2026-01-25 21:27:44 UTC
23/01/2026,BBY,"Best Buy Co., Inc.",Consumer Cyclical,66.80000305,67.44000244,66.38999939,67.05000305,67.05000305,3154300,2026-01-25 21:27:44 UTC
19/01/2026,BDX,"Becton, Dickinson and Company",Healthcare,207.0800018,209.1199951,206.6499939,207.1100006,207.1100006,1590400,2026-01-25 21:27:44 UTC
23/01/2026,BDX,"Becton, Dickinson and Company",Healthcare,205.5,205.5200043,195.6300049,201.7899933,201.7899933,3433300,2026-01-25 21:27:44 UTC
19/01/2026,BEN,"Franklin Resources, Inc.",Financial Services,25.95999908,26.25,25.82999992,26,26,4395100,2026-01-25 21:27:44 UTC
23/01/2026,BEN,"Franklin Resources, Inc.",Financial Services,25.62999916,25.70000076,25.29999924,25.30999947,25.30999947,3460800,2026-01-25 21:27:44 UTC
19/01/2026,BF-B,Brown-Forman Corporation,Consumer Defensive,26.96999931,27.09000015,26.12000084,26.39999962,26.39999962,3950200,2026-01-25 21:27:44 UTC
23/01/2026,BF-B,Brown-Forman Corporation,Consumer Defensive,27.67000008,27.81999969,27.23999977,27.56999969,27.56999969,4131900,2026-01-25 21:27:44 UTC
19/01/2026,BG,Bunge Global SA,Consumer Defensive,107.6399994,108.8300018,106.9599991,107.8099976,107.8099976,1976500,2026-01-25 21:27:44 UTC
23/01/2026,BG,Bunge Global SA,Consumer Defensive,113.4199982,114,111.6200027,113.5999985,113.5999985,1486600,2026-01-25 21:27:44 UTC
19/01/2026,BIIB,Biogen Inc.,Healthcare,168.8699951,169.3399963,163.7400055,164.4199982,164.4199982,1816100,2026-01-25 21:27:44 UTC
23/01/2026,BIIB,Biogen Inc.,Healthcare,173.1699982,173.8999939,170.0399933,171.5899963,171.5899963,1250500,2026-01-25 21:27:44 UTC
19/01/2026,BK,The Bank of New York Mellon Corporation,Financial Services,123.7799988,124.3499985,121.2699966,121.3300018,120.7949295,4721000,2026-01-25 21:27:44 UTC
23/01/2026,BK,The Bank of New York Mellon Corporation,Financial Services,119.1500015,119.5199966,117.3499985,117.6100006,117.6100006,3861800,2026-01-25 21:27:44 UTC
19/01/2026,BKNG,Booking Holdings Inc.,Consumer Cyclical,5193.060059,5228,5103.560059,5115.910156,5115.910156,373100,2026-01-25 21:27:44 UTC
23/01/2026,BKNG,Booking Holdings Inc.,Consumer Cyclical,5067.240234,5129.830078,5067.240234,5098.5,5098.5,207700,2026-01-25 21:27:44 UTC
19/01/2026,BKR,Baker Hughes Company,Energy,52.02000046,52.33000183,51.13999939,51.75,51.75,8595500,2026-01-25 21:27:44 UTC
23/01/2026,BKR,Baker Hughes Company,Energy,55.31000137,55.31000137,53.79999924,53.91999817,53.91999817,15013700,2026-01-25 21:27:44 UTC
19/01/2026,BLDR,"Builders FirstSource, Inc.",Industrials,128.5,131.5,126.7900009,126.7900009,126.7900009,2466500,2026-01-25 21:27:44 UTC
23/01/2026,BLDR,"Builders FirstSource, Inc.",Industrials,124.9199982,125.4199982,122.2799988,122.3600006,122.3600006,1699200,2026-01-25 21:27:44 UTC
19/01/2026,BLK,"BlackRock, Inc.",Financial Services,1159.5,1181.359985,1159,1163.170044,1163.170044,1125600,2026-01-25 21:27:44 UTC
23/01/2026,BLK,"BlackRock, Inc.",Financial Services,1133.910034,1136.48999,1121,1129.910034,1129.910034,730400,2026-01-25 21:27:44 UTC
19/01/2026,BMY,Bristol-Myers Squibb Company,Healthcare,56.45999908,56.56000137,55.09999847,55.25999832,55.25999832,13702900,2026-01-25 21:27:44 UTC
23/01/2026,BMY,Bristol-Myers Squibb Company,Healthcare,54.97999954,55.18000031,54.22999954,54.65000153,54.65000153,9701700,2026-01-25 21:27:44 UTC
19/01/2026,BR,"Broadridge Financial Solutions, Inc.",Technology,218.5299988,220.0099945,216.6499939,218.6399994,218.6399994,696400,2026-01-25 21:27:44 UTC
23/01/2026,BR,"Broadridge Financial Solutions, Inc.",Technology,207.6900024,209.1199951,204.6100006,207.5399933,207.5399933,836900,2026-01-25 21:27:44 UTC
19/01/2026,BRK-B,Berkshire Hathaway Inc.,Financial Services,491.6700134,495.1600037,490.8999939,493.2900085,493.2900085,4807400,2026-01-25 21:27:44 UTC
23/01/2026,BRK-B,Berkshire Hathaway Inc.,Financial Services,482.2600098,483.4200134,478.4400024,478.9700012,478.9700012,5433600,2026-01-25 21:27:44 UTC
19/01/2026,BRO,"Brown & Brown, Inc.",Financial Services,79.40000153,80.20999908,79,80.01000214,80.01000214,1978900,2026-01-25 21:27:44 UTC
23/01/2026,BRO,"Brown & Brown, Inc.",Financial Services,77.98999786,79.33999634,77.98999786,79.18000031,79.18000031,2734400,2026-01-25 21:27:44 UTC
19/01/2026,BSX,Boston Scientific Corporation,Healthcare,90.01999664,90.01999664,88.04000092,88.06999969,88.06999969,17377000,2026-01-25 21:27:44 UTC
23/01/2026,BSX,Boston Scientific Corporation,Healthcare,91.5,92.59999847,90.88999939,92.51000214,92.51000214,13613100,2026-01-25 21:27:44 UTC
19/01/2026,BX,Blackstone Inc.,Financial Services,160.8099976,165.1399994,160.6499939,163.5,163.5,4126600,2026-01-25 21:27:44 UTC
23/01/2026,BX,Blackstone Inc.,Financial Services,154.4700012,154.6499939,149.3500061,150.4799957,150.4799957,4131500,2026-01-25 21:27:44 UTC
19/01/2026,BXP,"BXP, Inc.",Real Estate,66.91000366,68.01999664,66.43000031,67.94999695,67.94999695,2207300,2026-01-25 21:27:44 UTC
23/01/2026,BXP,"BXP, Inc.",Real Estate,65.09999847,65.68000031,64.69000244,65.48999786,65.48999786,1629700,2026-01-25 21:27:44 UTC
19/01/2026,C,Citigroup Inc.,Financial Services,117.8000031,119.3499985,117,118.0400009,118.0400009,17153800,2026-01-25 21:27:44 UTC
23/01/2026,C,Citigroup Inc.,Financial Services,114.9700012,115.6299973,113.1999969,113.5899963,113.5899963,12158800,2026-01-25 21:27:44 UTC
19/01/2026,CAG,"Conagra Brands, Inc.",Consumer Defensive,17.22999954,17.29999924,16.94000053,16.95999908,16.95999908,11734100,2026-01-25 21:27:44 UTC
23/01/2026,CAG,"Conagra Brands, Inc.",Consumer Defensive,17.45999908,17.59000015,17.29000092,17.5,17.5,9791700,2026-01-25 21:27:44 UTC
19/01/2026,CAH,"Cardinal Health, Inc.",Healthcare,213.6199951,214.5200043,212,212.4499969,212.4499969,1331400,2026-01-25 21:27:44 UTC
23/01/2026,CAH,"Cardinal Health, Inc.",Healthcare,207.0399933,210.75,206.6699982,208.3300018,208.3300018,2159100,2026-01-25 21:27:44 UTC
19/01/2026,CARR,Carrier Global Corporation,Industrials,55.27000046,56.34999847,54.625,56.18999863,55.95000076,8978700,2026-01-25 21:27:44 UTC
23/01/2026,CARR,Carrier Global Corporation,Industrials,57.54999924,57.70999908,56.70999908,57.29999924,57.29999924,8858900,2026-01-25 21:27:44 UTC
19/01/2026,CAT,Caterpillar Inc.,Industrials,651.9699707,655.6799927,641.0100098,646.8900146,645.3800049,2554900,2026-01-25 21:27:44 UTC
