PS C:\Quant\scripts> & "C:\Quant\quant_freshness_audit.ps1"
=== Quant Freshness Audit ===

=== Freshness Report ===

FileName                                                               Cadence LastUpdated         Status
Quant v1.2 User Guide.txt                                              Daily   29/01/2026 13:40:28 RED
verify_backtest_vs_ingestion_longshort.py                              Daily   29/01/2026 13:40:28 RED
verify_backtest_vs_ingestion.py                                        Daily   29/01/2026 13:40:28 RED
inspect_selection.py                                                   Daily   29/01/2026 13:40:28 RED
backtest_longonly_weekly.py                                            Daily   29/01/2026 13:40:28 RED
backtest_longshort_weekly.py                                           Daily   29/01/2026 13:40:28 RED
quant_combined_analytics_v1.csv                                        Daily   29/01/2026 13:40:34 RED
quant_weekly_longshort_perf_v1.csv                                     Daily   29/01/2026 13:40:36 RED
quant_weekly_longonly_perf_v1.csv                                      Daily   29/01/2026 13:40:37 RED
build_combined_analytics.py                                            Daily   29/01/2026 13:41:39 RED
run_pipeline_10stock_weekly.cpython-312.pyc                            Daily   29/01/2026 16:58:55 RED
__init__.cpython-312.pyc                                               Daily   29/01/2026 17:08:08 RED
regime_factor_weighting_quant_v1.cpython-312.pyc                       Daily   29/01/2026 17:08:08 RED
risk_regime_quant_v1.cpython-312.pyc                                   Daily   29/01/2026 17:10:47 RED
factor_exposure_report_quant_v1.cpython-312.pyc                        Daily   29/01/2026 17:11:02 RED
turnover_regime_quant_v1.cpython-312.pyc                               Daily   29/01/2026 17:11:18 RED
quant_attribution_v1.py                                                Daily   29/01/2026 17:32:28 RED
attribution_regime_quant_v1.py                                         Daily   29/01/2026 18:12:48 RED
attribution_regime_quant_v1.cpython-312.pyc                            Daily   29/01/2026 18:24:28 RED
quant_attribution_v1_1.py                                              Daily   29/01/2026 20:16:34 RED
optimiser_regime_quant_v1.cpython-312.pyc                              Daily   29/01/2026 20:30:22 RED
enriched_10stock_weekly.csv                                            Daily   30/01/2026 01:08:16 RED
backtest_10stock_weekly.csv                                            Daily   30/01/2026 01:08:32 RED
dashboard_10stock_weekly.csv                                           Daily   30/01/2026 01:08:33 RED
quant_risk_regime_v1.csv                                               Daily   30/01/2026 01:11:08 RED
