date,portfolio_type,gross_turnover,cost_per_unit,daily_return,cost_adjusted_return
2024-04-12,longonly,0.3137254901960768,0.001,-0.0170626208713453,-0.017376346361541374
2024-04-15,longonly,0.2745098039215672,0.001,-0.0090900910422983,-0.009364600846219867
2024-04-16,longonly,0.2745098039215672,0.001,0.0019305874719622,0.0016560776680406327
2024-04-17,longonly,0.37254901960784126,0.001,-0.0004090011293718,-0.0007815501489796412
2024-04-18,longonly,0.3137254901960768,0.001,0.0018660090191563,0.0015522835289602233
2024-04-19,longonly,0.392156862745096,0.001,0.0053319425869534,0.004939785724208304
2024-04-22,longonly,0.2156862745098028,0.001,0.0134781510247741,0.013262464750264297
2024-04-23,longonly,0.31372549019607676,0.001,0.0182901312539347,0.017976405763738625
2024-04-24,longonly,0.31372549019607676,0.001,0.008499872989602,0.008186147499405922
2024-04-25,longonly,0.2156862745098028,0.001,0.0061538331447074,0.005938146870197597
2024-04-26,longonly,0.3333333333333316,0.001,0.0137607594558245,0.01342742612249117
2024-04-29,longonly,0.2156862745098028,0.001,0.0080127837654034,0.007797097490893597
2024-04-30,longonly,0.294117647058822,0.001,-0.0085054388308939,-0.00879955647795272
2024-05-01,longonly,0.3333333333333316,0.001,-0.0006791745546458,-0.0010125078879791316
2024-05-02,longonly,0.3529411764705864,0.001,0.0212447601882068,0.02089181901173621
2024-05-03,longonly,0.2549019607843124,0.001,0.0145758463629457,0.014320944402161388
2024-05-06,longonly,0.196078431372548,0.001,0.0168151375202369,0.016619059088864352
2024-05-07,longonly,0.2352941176470576,0.001,0.0031145139196142,0.0028792198019671426
2024-05-08,longonly,0.3137254901960768,0.001,0.0044970464624375,0.004183320972241424
2024-05-09,longonly,0.37254901960784126,0.001,0.0125060226043486,0.012133473584740758
2024-05-10,longonly,0.23529411764705763,0.001,0.0070221561788908,0.006786862061243742
2024-05-13,longonly,0.2352941176470576,0.001,0.0008552297891952,0.0006199356715481424
2024-05-14,longonly,0.31372549019607676,0.001,0.0112373037815458,0.010923578291349722
2024-05-15,longonly,0.3725490196078412,0.001,0.0208485585887539,0.02047600956914606
2024-05-16,longonly,0.31372549019607676,0.001,-0.0035356274634674,-0.0038493529536634766
2024-05-17,longonly,0.29411764705882204,0.001,0.006251372496263,0.005957254849204178
2024-05-20,longonly,0.2745098039215672,0.001,0.0099528330156416,0.009678323211720033
2024-05-21,longonly,0.2745098039215672,0.001,0.0055779555893772,0.005303445785455632
2024-05-22,longonly,0.23529411764705763,0.001,0.0017617350181965,0.0015264409005494423
2024-05-23,longonly,0.2352941176470576,0.001,-0.0056905859934948,-0.0059258801111418576
2024-05-24,longonly,0.2352941176470576,0.001,0.0198383275093792,0.019603033391732142
2024-05-27,longonly,0.098039215686274,0.001,0.0,-9.803921568627399e-05
